levelname,asctime,message,apk,version,phase,loadsJNI,local_port,remote_host,container,ip_source,port_source,method,host,url,port_dest,tls,ip_dest,https,cookie,PII,format,country,error,ip_anycast,android_rating,android_numDownloads,android_category,it_mentioned_by_policy,adequacy_decision_by_policy,countries_mentioned_by_policy,origins_transfers_outside_EEE,destinations_transfers_outside_EEE,frequency_transfers_outside_EEE,outside_EEE,stackTrace,TP-performed,TP-library,FP-intended,apk_it_gdpr_compliance
DEBUG,2023-12-14 19:10:48.302,Connection intercepted,it.Gruner.Focus,100025,idle,False,,None,new_traffic,192.168.1.178,36320.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.184.10,True,[],Device_Model,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:49.997,Connection intercepted,it.Gruner.Focus,100025,idle,False,,None,new_traffic,192.168.1.178,36320.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.184.10,True,[],Device_Model,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:51.027,Connection intercepted,it.Gruner.Focus,100025,idle,False,,None,new_traffic,192.168.1.178,36320.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.184.10,True,[],Device_Model,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:13:51.630,Frida Results,it.Gruner.Focus,100025,dynamic,True,38260.0,api-ne.paperlit.com,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:13:51.630,Frida Results,it.Gruner.Focus,100025,dynamic,True,36004.0,in.appcenter.ms,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:13:51.630,Frida Results,it.Gruner.Focus,100025,dynamic,True,36364.0,privappserver,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:13:52.835,Connection intercepted,it.Gruner.Focus,100025,dynamic,False,,None,new_traffic,192.168.1.178,36364.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,172.217.168.170,True,[],Fingerprint,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:13:53.896,Connection intercepted,it.Gruner.Focus,100025,dynamic,False,,None,new_traffic,192.168.1.178,36364.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,172.217.168.170,True,[],Build_No,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:13:54.947,Connection intercepted,it.Gruner.Focus,100025,dynamic,False,,None,new_traffic,192.168.1.178,36364.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,172.217.168.170,True,[],Device_Model,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:13:55.788,Connection intercepted,it.Gruner.Focus,100025,dynamic,False,,None,new_traffic,192.168.1.178,36364.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,172.217.168.170,True,[],Device_Model,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
